year,donor_code,donor_iso3_code,donor_name,agency_code,agency_name,crs_id,project_number,initial_report,recipient_code,recipient_iso3_code,recipient_name,region_code,region_name,income_group_code,income_group_name,flow_code,flow_name,bilateral_multilateral,category,finance_type,aid_type,usd_commitment,usd_disbursement,usd_received,usd_commitment_deflated,usd_disbursement_deflated,usd_received_deflated,usd_adjustment,usd_adjustment_deflated,usd_amount_untied,usd_amount_partial_tied,usd_amount_tied,usd_amount_untied_deflated,usd_amount_partial_tied_deflated,usd_amount_tied_deflated,usd_irtc,usd_expert_commitment,usd_expert_extended,usd_export_credit,currency_code,commitment_national,disbursement_national,grant_equivalent,usd_grant_equivalent,short_description,project_title,purpose_code,purpose_name,sector_code,sector_name,channel_code,channel_name,channel_reported_name,channel_parent_category,geography,ldc_flag,ldc_flag_name,expected_start_date,completion_date,long_description,sdg_focus,keywords,gender,environment,pdgg,trade,rmnch,drr,nutrition,disability,ftc,pba,investment_project,associated_finance,biodiversity,climate_mitigation,climate_adaptation,desertification,commitment_date,type_repayment,number_repayment,interest_1,interest_2,repay_date_1,repay_date_2,usd_interest,usd_outstanding,usd_arrears_principal,usd_arrears_interest,capital_expenditure,psi_flag,psi_add_type,psi_add_assess,psi_add_dev_obj
2021,1013,5RDB005,Council of Europe Development Bank,1,Council of Europe Development Bank (CEB),2021000009d,1499,8,64,BIH,Bosnia and Herzegovina,10010,Europe,10019,UMICs,13,ODA Loans,4,10,421,C01,,,0.242431,,,0.235147,,,,,,,,,,,,,918,,,,,REHABILITATION OF HOUSING STOCK FOR THE RETURN OF INTERNALLY DISPLACED PEOPLE,Rehabilitation of housing stock for the return of Internally Displaced People,73010,Immediate post-emergency reconstruction and rehabilitation,730,VIII.2. Reconstruction Relief & Rehabilitation,12000,Recipient Government,,12000,,,,,,Rehabilitation of housing stock for the return of Internally Displaced People,,,,,,,,,,,,,,,,,,,2021-12-31,,,,,,,,,,,,,,,
2021,1013,5RDB005,Council of Europe Development Bank,1,Council of Europe Development Bank (CEB),2021000009e,1499,8,64,BIH,Bosnia and Herzegovina,10010,Europe,10019,UMICs,13,ODA Loans,4,10,421,C01,,,0.037843,,,0.036706,,,,,,,,,,,,,918,,,,,REHABILITATION OF HOUSING STOCK FOR THE RETURN OF INTERNALLY DISPLACED PEOPLE,Rehabilitation of housing stock for the return of Internally Displaced People,73010,Immediate post-emergency reconstruction and rehabilitation,730,VIII.2. Reconstruction Relief & Rehabilitation,12000,Recipient Government,,12000,,,,,,Rehabilitation of housing stock for the return of Internally Displaced People,,,,,,,,,,,,,,,,,,,2021-12-31,,,,,,,,,,,,,,,
2021,1013,5RDB005,Council of Europe Development Bank,1,Council of Europe Development Bank (CEB),2021000014,1528,8,63,SRB,Serbia,10010,Europe,10019,UMICs,13,ODA Loans,4,10,421,C01,,,0.175963,,,0.170676,,,,,,,,,,,,,918,,,,,HOUSING FOR VULNERABLE GROUPS,Housing for vulnerable groups,16040,Low-cost housing,160,I.6. Other Social Infrastructure & Services,12000,Recipient Government,,12000,,,,,,Housing for vulnerable groups,,,,,,,,,,,,,,,,,,,2021-12-31,,,,,,,,,,,,,,,
2021,1013,5RDB005,Council of Europe Development Bank,1,Council of Europe Development Bank (CEB),2021000009a,1499,8,64,BIH,Bosnia and Herzegovina,10010,Europe,10019,UMICs,13,ODA Loans,4,10,421,C01,,,0.204588,,,0.198441,,,,,,,,,,,,,918,,,,,REHABILITATION OF HOUSING STOCK FOR THE RETURN OF INTERNALLY DISPLACED PEOPLE,Rehabilitation of housing stock for the return of Internally Displaced People,73010,Immediate post-emergency reconstruction and rehabilitation,730,VIII.2. Reconstruction Relief & Rehabilitation,12000,Recipient Government,,12000,,,,,,Rehabilitation of housing stock for the return of Internally Displaced People,,,,,,,,,,,,,,,,,,,2021-12-31,,,,,,,,,,,,,,,
2021,1013,5RDB005,Council of Europe Development Bank,1,Council of Europe Development Bank (CEB),2021000009b,1499,8,64,BIH,Bosnia and Herzegovina,10010,Europe,10019,UMICs,13,ODA Loans,4,10,421,C01,,,0.177389,,,0.172059,,,,,,,,,,,,,918,,,,,REHABILITATION OF HOUSING STOCK FOR THE RETURN OF INTERNALLY DISPLACED PEOPLE,Rehabilitation of housing stock for the return of Internally Displaced People,73010,Immediate post-emergency reconstruction and rehabilitation,730,VIII.2. Reconstruction Relief & Rehabilitation,12000,Recipient Government,,12000,,,,,,Rehabilitation of housing stock for the return of Internally Displaced People,,,,,,,,,,,,,,,,,,,2021-12-31,,,,,,,,,,,,,,,
2021,1013,5RDB005,Council of Europe Development Bank,1,Council of Europe Development Bank (CEB),2021000009c,1499,8,64,BIH,Bosnia and Herzegovina,10010,Europe,10019,UMICs,13,ODA Loans,4,10,421,C01,,,0.189215,,,0.183529,,,,,,,,,,,,,918,,,,,REHABILITATION OF HOUSING STOCK FOR THE RETURN OF INTERNALLY DISPLACED PEOPLE,Rehabilitation of housing stock for the return of Internally Displaced People,73010,Immediate post-emergency reconstruction and rehabilitation,730,VIII.2. Reconstruction Relief & Rehabilitation,12000,Recipient Government,,12000,,,,,,Rehabilitation of housing stock for the return of Internally Displaced People,,,,,,,,,,,,,,,,,,,2021-12-31,,,,,,,,,,,,,,,
2021,1013,5RDB005,Council of Europe Development Bank,1,Council of Europe Development Bank (CEB),2022000022a,1580B,8,71,ALB,Albania,10010,Europe,10019,UMICs,13,ODA Loans,4,10,421,C01,,,0.118259,,,0.114706,,,,,,,,,,,,,918,,,,,CONSTRUCTION OF SOCIAL HOUSING AT  DURRES,Construction of social housing at  Durres,16040,Low-cost housing,160,I.6. Other Social Infrastructure & Services,12000,Recipient Government,,12000,,,,,,Construction of social housing at  Durres,,,,,,,,,,,,,,,,,,,2021-12-31,,,,,,,,,,,,,,,
2021,1013,5RDB005,Council of Europe Development Bank,1,Council of Europe Development Bank (CEB),2021000021a,1580A,8,71,ALB,Albania,10010,Europe,10019,UMICs,13,ODA Loans,4,10,421,C01,,,0.022114,,,0.02145,,,,,,,,,,,,,918,,,,,CONSTRUCTION OF SOCIAL HOUSING AT BERAT,Construction of social housing at Berat,16040,Low-cost housing,160,I.6. Other Social Infrastructure & Services,12000,Recipient Government,,12000,,,,,,Construction of social housing at Berat,,,,,,,,,,,,,,,,,,,2021-12-31,,,,,,,,,,,,,,,
2021,1013,5RDB005,Council of Europe Development Bank,1,Council of Europe Development Bank (CEB),2021000021b,1580A,8,71,ALB,Albania,10010,Europe,10019,UMICs,13,ODA Loans,4,10,421,C01,,,0.03193,,,0.030971,,,,,,,,,,,,,918,,,,,CONSTRUCTION OF SOCIAL HOUSING AT BERAT,Construction of social housing at Berat,16040,Low-cost housing,160,I.6. Other Social Infrastructure & Services,12000,Recipient Government,,12000,,,,,,Construction of social housing at Berat,,,,,,,,,,,,,,,,,,,2021-12-31,,,,,,,,,,,,,,,
2021,1013,5RDB005,Council of Europe Development Bank,1,Council of Europe Development Bank (CEB),2021000021c,1580A,8,71,ALB,Albania,10010,Europe,10019,UMICs,13,ODA Loans,4,10,421,C01,,,0.012383,,,0.012011,,,,,,,,,,,,,918,,,,,CONSTRUCTION OF SOCIAL HOUSING AT BERAT,Construction of social housing at Berat,16040,Low-cost housing,160,I.6. Other Social Infrastructure & Services,12000,Recipient Government,,12000,,,,,,Construction of social housing at Berat,,,,,,,,,,,,,,,,,,,2021-12-31,,,,,,,,,,,,,,,
